,1,brown,Sawmill,TT,,,1,2,2,2,2
,1,brown,Quarry,SS,,,1,2,2,2,2
,1,brown,Brickyard,CC,,,1,2,2,2,2
,1,brown,Foundry,OO,,,1,2,2,2,2
,,grey,Loom,L,,,1,1,2,2,2
,,grey,Glassworks,G,,,1,1,2,2,2
,,grey,Press,P,,,1,1,2,2,2
Baths,SSS,blue,Aqueduct,5,,,1,1,1,1,2
Altar,TCG,blue,Temple,3,Pantheon,,1,1,1,2,2
Theater,TOO,blue,Statue,4,Gardens,,1,1,1,1,2
Scriptorium,CCL,blue,Courthouse,4,,,1,1,2,2,2
East Trading Post,CC,yellow,Forum,L/G/P,Haven,,1,1,1,2,3
Marketplace,TT,yellow,Caravansery,C/S/O/T,Lighthouse,,1,1,2,3,3
,,yellow,Vineyard,<V> brown 1,,,1,1,1,2,2
,,yellow,Bazar,<V> grey 2,,,0,1,1,1,2
,SSS,red,Walls,2,Fortifications,,1,1,1,1,2
,TOO,red,Training Ground,2,Circus,,0,1,1,2,3
Apothecary,OCT,red,Stables,2,,,1,1,2,2,2
Workshop,TTO,red,Archery Range,2,,,1,1,1,2,2
Apothecary,OOG,green,Dispensary,1,Arena,Lodge,1,2,2,2,2
Workshop,CCP,green,Laboratory,2,Siege Workshop,Observatory,1,1,2,2,2
Scriptorium,SSL,green,Library,3,Senate,University,1,1,1,2,2
,TP,green,School,3,Academy,Study,1,1,1,1,2
